service_type,dentist_experience_years,patient_type,day_of_week,appointment_time,avg_duration
Upper denture metal,25,Adult,Wednesday,Afternoon,78.05
Extraction,19,Adult,Saturday,Afternoon,21.1
Upper denture acrylic,3,Adult,Saturday,Morning,69.13
Lower denture metal,7,Child,Monday,Afternoon,71.51
Upper denture metal,23,Child,Friday,Morning,75.89
Lower denture acrylic,19,Child,Tuesday,Morning,72.43
Examination acute,20,Adult,Thursday,Afternoon,11.5
Lower denture metal,6,Child,Friday,Afternoon,76.86
Radiographs,14,Child,Wednesday,Afternoon,5.03
Lower denture acrylic,17,Adult,Saturday,Morning,66.22
Upper denture metal,16,Child,Thursday,Afternoon,79.3
Fluoride varnish,25,Adult,Friday,Afternoon,3.72
Plaque and bleeding scores,17,Adult,Tuesday,Afternoon,7.49
Upper denture acrylic,1,Child,Friday,Morning,63.36
Fluoride varnish,6,Child,Thursday,Morning,4.1
Extraction,2,Adult,Saturday,Morning,22.72
Examination acute,2,Adult,Tuesday,Morning,11.06
Root surface debridement,6,Child,Monday,Morning,30.83
Permanent filling,16,Adult,Tuesday,Afternoon,24.6
Permanent filling,16,Adult,Thursday,Morning,22.87
Lower denture metal,6,Adult,Tuesday,Morning,71.07
Examination acute,22,Child,Saturday,Morning,11.3
Radiographs,25,Adult,Tuesday,Morning,4.58
Root surface debridement,19,Child,Friday,Afternoon,31.81
Examination acute,23,Adult,Friday,Afternoon,11.7
Extraction,5,Child,Wednesday,Afternoon,19.87
Root surface debridement,6,Adult,Tuesday,Morning,31.54
Radiographs,24,Child,Friday,Morning,5.24
Upper denture metal,8,Adult,Friday,Afternoon,77.06
Root canal single,21,Adult,Thursday,Morning,44.83
Root surface debridement,6,Adult,Tuesday,Morning,32.09
Examination acute,22,Child,Saturday,Morning,11.71
Examination routine,2,Child,Saturday,Morning,9.18
Lower denture metal,24,Adult,Monday,Morning,80.82
Crown prep,21,Child,Monday,Afternoon,52.99
Clinical note reading,2,Child,Saturday,Morning,3.76
Examination routine,5,Child,Thursday,Morning,9.07
Lower denture acrylic,25,Child,Saturday,Afternoon,66.57
Plaque and bleeding scores,2,Adult,Tuesday,Afternoon,7.23
Preventive advice,12,Adult,Saturday,Morning,6.32
Extraction,16,Adult,Saturday,Afternoon,22.46
Clinical note reading,11,Child,Friday,Morning,4.28
Upper denture acrylic,2,Adult,Saturday,Afternoon,71.85
Scale and polish,7,Child,Friday,Morning,8.17
Examination routine,15,Child,Monday,Afternoon,9.49
Preventive advice,6,Child,Tuesday,Afternoon,5.45
Lower denture metal,12,Child,Thursday,Morning,80.79
Plaque and bleeding scores,19,Child,Friday,Morning,7.47
Lower denture acrylic,19,Child,Wednesday,Afternoon,66.35
Examination routine,2,Adult,Monday,Morning,10.18
Permanent filling,20,Adult,Friday,Afternoon,23.27
Root canal single,10,Child,Tuesday,Morning,48.04
Bridge prep conventional,11,Child,Monday,Afternoon,57.97
Preventive advice,19,Adult,Saturday,Morning,5.86
Plaque and bleeding scores,7,Child,Thursday,Morning,6.39
Examination routine,9,Adult,Thursday,Afternoon,9.32
Permanent filling,17,Adult,Tuesday,Afternoon,25.28
Upper denture metal,15,Child,Monday,Morning,72.13
Fluoride varnish,10,Child,Tuesday,Morning,3.97
Prescription of medicines,8,Child,Thursday,Afternoon,7.34
Extraction,8,Child,Wednesday,Afternoon,23.95
Clinical note reading,8,Adult,Tuesday,Morning,4.21
Crown prep,6,Adult,Thursday,Morning,50.0
Root canal multi,17,Child,Monday,Afternoon,84.42
Clinical note reading,16,Adult,Thursday,Morning,4.08
Permanent filling,3,Child,Tuesday,Afternoon,24.07
Upper denture acrylic,18,Child,Wednesday,Afternoon,75.05
Scale and polish,21,Adult,Thursday,Afternoon,8.97
Examination routine,12,Child,Tuesday,Afternoon,9.6
Clinical note reading,20,Adult,Wednesday,Afternoon,4.28
Crown prep,11,Child,Friday,Morning,46.51
Examination routine,14,Adult,Thursday,Afternoon,10.14
Fluoride varnish,9,Child,Saturday,Afternoon,3.87
Upper denture acrylic,13,Child,Saturday,Morning,66.82
Scale and polish,20,Adult,Friday,Afternoon,8.65
Plaque and bleeding scores,12,Child,Friday,Morning,7.62
Root surface debridement,11,Adult,Thursday,Morning,27.31
Permanent filling,21,Adult,Thursday,Morning,21.09
Plaque and bleeding scores,9,Child,Monday,Morning,6.64
Crown prep,10,Adult,Tuesday,Morning,49.1
Permanent filling,3,Child,Monday,Afternoon,21.39
Upper denture metal,6,Adult,Saturday,Afternoon,82.25
Root canal multi,18,Child,Friday,Morning,71.69
Root surface debridement,19,Child,Tuesday,Afternoon,27.42
Clinical note reading,3,Child,Tuesday,Morning,4.0
Scale and polish,16,Adult,Thursday,Afternoon,9.84
Crown prep,18,Adult,Wednesday,Afternoon,51.65
Root surface debridement,2,Child,Saturday,Afternoon,30.97
Bridge prep conventional,5,Child,Friday,Morning,65.8
Radiographs,16,Child,Wednesday,Morning,5.28
Preventive advice,20,Child,Tuesday,Afternoon,5.85
Permanent filling,7,Adult,Friday,Afternoon,21.2
Plaque and bleeding scores,1,Adult,Wednesday,Afternoon,7.18
Root surface debridement,8,Adult,Friday,Afternoon,28.19
Bridge prep conventional,6,Child,Thursday,Morning,66.75
Prescription of medicines,16,Adult,Thursday,Morning,7.99
Extraction,20,Child,Friday,Morning,21.85
Clinical note reading,19,Adult,Friday,Morning,3.61
Root canal single,17,Adult,Monday,Morning,44.63
Fluoride varnish,11,Child,Saturday,Morning,4.01
Lower denture acrylic,16,Adult,Saturday,Morning,62.44
Root canal single,10,Adult,Friday,Afternoon,50.88
Crown prep,23,Adult,Monday,Morning,48.45
Plaque and bleeding scores,11,Child,Monday,Afternoon,7.26
Examination acute,24,Child,Tuesday,Afternoon,11.5
Radiographs,20,Child,Monday,Morning,5.32
Scale and polish,25,Adult,Saturday,Morning,8.18
Fluoride varnish,18,Child,Monday,Morning,3.73
Examination routine,4,Child,Wednesday,Morning,9.14
Examination acute,21,Adult,Wednesday,Afternoon,11.29
Bridge prep conventional,17,Adult,Friday,Afternoon,58.94
Root canal multi,3,Adult,Thursday,Afternoon,81.64
Examination routine,16,Child,Saturday,Morning,9.54
Scale and polish,2,Child,Friday,Afternoon,8.57
Preventive advice,2,Adult,Saturday,Morning,6.43
Bridge prep conventional,11,Child,Monday,Morning,61.24
Radiographs,20,Child,Wednesday,Morning,4.53
Root surface debridement,1,Child,Tuesday,Afternoon,30.7
Lower denture acrylic,22,Child,Friday,Morning,63.99
Root canal single,6,Adult,Saturday,Morning,49.2
Lower denture acrylic,6,Adult,Friday,Afternoon,64.24
Radiographs,7,Adult,Wednesday,Morning,5.05
Preventive advice,8,Adult,Tuesday,Morning,6.5
Fluoride varnish,8,Child,Saturday,Afternoon,3.88
Clinical note reading,4,Child,Saturday,Afternoon,4.22
Plaque and bleeding scores,6,Child,Wednesday,Morning,7.17
Upper denture acrylic,13,Adult,Monday,Morning,65.03
Bridge prep conventional,8,Adult,Saturday,Afternoon,67.84
Plaque and bleeding scores,12,Adult,Wednesday,Morning,7.37
Bridge prep conventional,1,Child,Saturday,Afternoon,63.77
Upper denture metal,18,Adult,Saturday,Morning,75.38
Bridge prep conventional,7,Adult,Monday,Afternoon,58.52
Lower denture acrylic,20,Adult,Saturday,Morning,74.31
Upper denture acrylic,5,Child,Saturday,Morning,70.52
Radiographs,9,Child,Tuesday,Afternoon,4.8
Upper denture acrylic,17,Child,Thursday,Afternoon,75.43
Lower denture metal,13,Adult,Monday,Morning,72.37
Root canal single,21,Child,Friday,Morning,49.65
Clinical note reading,5,Child,Tuesday,Morning,3.91
Scale and polish,7,Adult,Tuesday,Afternoon,9.7
Prescription of medicines,2,Adult,Monday,Afternoon,7.23
Preventive advice,16,Child,Monday,Morning,6.51
